target_accord_id_primary,target_accord_id_secondary,n
ACC-0162,ACC-0114,1
ACC-0162,ACC-0125,1
ACC-0162,ACC-0138,1
ACC-0162,ACC-0156,1
ACC-0162,ACC-0164,1
ACC-0161,ACC-0210,1
ACC-0161,ACC-0196,1
ACC-0161,ACC-0191,1
ACC-0161,ACC-0135,1
ACC-0161,ACC-0075,1
ACC-0161,ACC-0082,1
ACC-0161,ACC-0102,1
ACC-0161,ACC-0109,1
ACC-0161,ACC-0111,1
ACC-0161,ACC-0115,1
ACC-0161,ACC-0121,1
ACC-0161,ACC-0131,1
ACC-0161,ACC-0142,1
ACC-0161,ACC-0184,1
ACC-0161,ACC-0148,1
ACC-0161,ACC-0149,1
ACC-0161,ACC-0156,1
ACC-0161,ACC-0158,1
ACC-0161,ACC-0170,1
ACC-0161,ACC-0172,1
ACC-0161,ACC-0174,1
ACC-0161,ACC-0182,1
ACC-0162,ACC-0166,1
ACC-0162,ACC-0181,1
ACC-0165,ACC-0152,1
ACC-0162,ACC-0187,1
ACC-0164,ACC-0055,1
ACC-0164,ACC-0066,1
ACC-0164,ACC-0090,1
ACC-0164,ACC-0121,1
ACC-0164,ACC-0130,1
ACC-0164,ACC-0144,1
ACC-0164,ACC-0150,1
ACC-0164,ACC-0157,1
ACC-0164,ACC-0191,1
ACC-0164,ACC-0248,1
ACC-0164,ACC-0252,1
ACC-0164,ACC-0259,1
ACC-0164,ACC-0277,1
ACC-0164,ACC-0286,1
ACC-0165,ACC-0066,1
ACC-0165,ACC-0109,1
ACC-0165,ACC-0112,1
ACC-0165,ACC-0142,1
ACC-0165,ACC-0150,1
ACC-0163,ACC-0252,1
ACC-0163,ACC-0248,1
ACC-0163,ACC-0213,1
ACC-0162,ACC-0287,1
ACC-0162,ACC-0193,1
ACC-0162,ACC-0202,1
ACC-0162,ACC-0222,1
ACC-0162,ACC-0233,1
ACC-0162,ACC-0244,1
ACC-0162,ACC-0280,1
ACC-0162,ACC-0283,1
ACC-0162,ACC-0285,1
ACC-0163,ACC-0007,1
ACC-0163,ACC-0194,1
ACC-0163,ACC-0062,1
ACC-0163,ACC-0104,1
ACC-0163,ACC-0107,1
ACC-0163,ACC-0140,1
ACC-0163,ACC-0146,1
ACC-0163,ACC-0169,1
ACC-0163,ACC-0171,1
ACC-0163,ACC-0187,1
ACC-0144,ACC-0295,1
ACC-0144,ACC-0291,1
ACC-0144,ACC-0287,1
ACC-0129,ACC-0293,1
ACC-0128,ACC-0158,1
ACC-0128,ACC-0170,1
ACC-0128,ACC-0195,1
ACC-0128,ACC-0227,1
ACC-0128,ACC-0246,1
ACC-0128,ACC-0254,1
ACC-0128,ACC-0264,1
ACC-0128,ACC-0285,1
ACC-0128,ACC-0289,1
ACC-0128,ACC-0292,1
ACC-0129,ACC-0051,1
ACC-0129,ACC-0075,1
ACC-0129,ACC-0118,1
ACC-0129,ACC-0127,1
ACC-0129,ACC-0130,1
ACC-0129,ACC-0140,1
ACC-0129,ACC-0183,1
ACC-0129,ACC-0194,1
ACC-0129,ACC-0202,1
ACC-0128,ACC-0144,1
ACC-0128,ACC-0118,1
ACC-0128,ACC-0109,1
ACC-0127,ACC-0229,1
ACC-0127,ACC-0142,1
ACC-0127,ACC-0153,1
ACC-0127,ACC-0170,1
ACC-0127,ACC-0171,1
ACC-0127,ACC-0180,1
ACC-0127,ACC-0184,1
ACC-0127,ACC-0197,1
ACC-0127,ACC-0214,1
ACC-0127,ACC-0247,1
ACC-0128,ACC-0108,1
ACC-0127,ACC-0250,1
ACC-0127,ACC-0254,1
ACC-0127,ACC-0259,1
ACC-0127,ACC-0295,1
ACC-0127,ACC-0296,1
ACC-0128,ACC-0008,1
ACC-0128,ACC-0082,1
ACC-0128,ACC-0107,1
ACC-0129,ACC-0287,1
ACC-0130,ACC-0058,1
ACC-0127,ACC-0132,1
ACC-0130,ACC-0068,1
ACC-0130,ACC-0289,1
ACC-0130,ACC-0295,1
ACC-0131,ACC-0028,1
ACC-0131,ACC-0043,1
ACC-0131,ACC-0066,1
ACC-0131,ACC-0075,1
ACC-0131,ACC-0100,1
ACC-0131,ACC-0111,1
ACC-0131,ACC-0114,1
ACC-0131,ACC-0118,1
ACC-0131,ACC-0133,1
ACC-0131,ACC-0138,1
ACC-0131,ACC-0142,1
ACC-0131,ACC-0158,1
ACC-0131,ACC-0163,1
ACC-0131,ACC-0168,1
ACC-0131,ACC-0171,1
ACC-0131,ACC-0177,1
ACC-0131,ACC-0181,1
ACC-0130,ACC-0284,1
ACC-0130,ACC-0280,1
ACC-0130,ACC-0278,1
ACC-0130,ACC-0170,1
ACC-0130,ACC-0105,1
ACC-0130,ACC-0112,1
ACC-0130,ACC-0128,1
ACC-0130,ACC-0129,1
ACC-0130,ACC-0134,1
ACC-0130,ACC-0147,1
ACC-0130,ACC-0161,1
ACC-0130,ACC-0162,1
ACC-0130,ACC-0175,1
ACC-0130,ACC-0249,1
ACC-0130,ACC-0177,1
ACC-0130,ACC-0181,1
ACC-0130,ACC-0186,1
ACC-0130,ACC-0206,1
ACC-0130,ACC-0222,1
ACC-0130,ACC-0239,1
ACC-0130,ACC-0246,1
ACC-0130,ACC-0248,1
ACC-0127,ACC-0135,1
ACC-0127,ACC-0104,1
ACC-0144,ACC-0246,1
ACC-0122,ACC-0146,1
ACC-0121,ACC-0028,1
ACC-0121,ACC-0043,1
ACC-0121,ACC-0050,1
ACC-0121,ACC-0077,1
ACC-0121,ACC-0080,1
ACC-0121,ACC-0155,1
ACC-0121,ACC-0163,1
ACC-0121,ACC-0170,1
ACC-0121,ACC-0175,1
ACC-0121,ACC-0248,1
ACC-0121,ACC-0250,1
ACC-0121,ACC-0255,1
ACC-0121,ACC-0288,1
ACC-0121,ACC-0292,1
ACC-0122,ACC-0004,1
ACC-0122,ACC-0033,1
ACC-0122,ACC-0102,1
ACC-0122,ACC-0118,1
ACC-0122,ACC-0129,1
ACC-0121,ACC-0022,1
ACC-0121,ACC-0007,1
ACC-0120,ACC-0292,1
ACC-0118,ACC-0287,1
ACC-0118,ACC-0253,1
ACC-0118,ACC-0262,1
ACC-0118,ACC-0263,1
ACC-0118,ACC-0266,1
ACC-0118,ACC-0267,1
ACC-0118,ACC-0277,1
ACC-0118,ACC-0284,1
ACC-0118,ACC-0285,1
ACC-0118,ACC-0293,1
ACC-0120,ACC-0283,1
ACC-0118,ACC-0295,1
ACC-0120,ACC-0055,1
ACC-0120,ACC-0066,1
ACC-0120,ACC-0105,1
ACC-0120,ACC-0133,1
ACC-0120,ACC-0153,1
ACC-0120,ACC-0181,1
ACC-0120,ACC-0250,1
ACC-0122,ACC-0133,1
ACC-0122,ACC-0149,1
ACC-0127,ACC-0063,1
ACC-0122,ACC-0165,1
ACC-0124,ACC-0293,1
ACC-0125,ACC-0109,1
ACC-0125,ACC-0118,1
ACC-0125,ACC-0128,1
ACC-0125,ACC-0151,1
ACC-0125,ACC-0155,1
ACC-0125,ACC-0162,1
ACC-0125,ACC-0166,1
ACC-0125,ACC-0170,1
ACC-0125,ACC-0209,1
ACC-0125,ACC-0212,1
ACC-0125,ACC-0248,1
ACC-0125,ACC-0262,1
ACC-0125,ACC-0264,1
ACC-0125,ACC-0279,1
ACC-0125,ACC-0293,1
ACC-0125,ACC-0295,1
ACC-0127,ACC-0031,1
ACC-0127,ACC-0062,1
ACC-0124,ACC-0276,1
ACC-0124,ACC-0239,1
ACC-0124,ACC-0231,1
ACC-0123,ACC-0055,1
ACC-0122,ACC-0177,1
ACC-0122,ACC-0185,1
ACC-0122,ACC-0200,1
ACC-0122,ACC-0205,1
ACC-0122,ACC-0207,1
ACC-0122,ACC-0258,1
ACC-0123,ACC-0004,1
ACC-0123,ACC-0022,1
ACC-0123,ACC-0063,1
ACC-0124,ACC-0222,1
ACC-0123,ACC-0112,1
ACC-0123,ACC-0175,1
ACC-0123,ACC-0263,1
ACC-0124,ACC-0109,1
ACC-0124,ACC-0112,1
ACC-0124,ACC-0131,1
ACC-0124,ACC-0132,1
ACC-0124,ACC-0162,1
ACC-0131,ACC-0183,1
ACC-0131,ACC-0195,1
ACC-0131,ACC-0196,1
ACC-0141,ACC-0267,1
ACC-0140,ACC-0251,1
ACC-0140,ACC-0263,1
ACC-0140,ACC-0264,1
ACC-0140,ACC-0291,1
ACC-0141,ACC-0022,1
ACC-0141,ACC-0028,1
ACC-0141,ACC-0107,1
ACC-0141,ACC-0109,1
ACC-0141,ACC-0111,1
ACC-0141,ACC-0112,1
ACC-0141,ACC-0125,1
ACC-0141,ACC-0146,1
ACC-0141,ACC-0161,1
ACC-0141,ACC-0170,1
ACC-0141,ACC-0178,1
ACC-0141,ACC-0183,1
ACC-0141,ACC-0195,1
ACC-0141,ACC-0206,1
ACC-0141,ACC-0245,1
ACC-0140,ACC-0230,1
ACC-0140,ACC-0222,1
ACC-0140,ACC-0213,1
ACC-0139,ACC-0275,1
ACC-0138,ACC-0295,1
ACC-0139,ACC-0051,1
ACC-0139,ACC-0104,1
ACC-0139,ACC-0112,1
ACC-0139,ACC-0222,1
ACC-0139,ACC-0227,1
ACC-0139,ACC-0236,1
ACC-0139,ACC-0239,1
ACC-0139,ACC-0283,1
ACC-0140,ACC-0172,1
ACC-0140,ACC-0051,1
ACC-0140,ACC-0105,1
ACC-0140,ACC-0124,1
ACC-0140,ACC-0135,1
ACC-0140,ACC-0148,1
ACC-0140,ACC-0155,1
ACC-0140,ACC-0160,1
ACC-0140,ACC-0170,1
ACC-0141,ACC-0252,1
ACC-0142,ACC-0007,1
ACC-0131,ACC-0197,1
ACC-0142,ACC-0023,1
ACC-0144,ACC-0063,1
ACC-0144,ACC-0075,1
ACC-0144,ACC-0080,1
ACC-0144,ACC-0100,1
ACC-0144,ACC-0102,1
ACC-0144,ACC-0111,1
ACC-0144,ACC-0134,1
ACC-0144,ACC-0159,1
ACC-0144,ACC-0162,1
ACC-0144,ACC-0172,1
ACC-0144,ACC-0175,1
ACC-0144,ACC-0182,1
ACC-0144,ACC-0190,1
ACC-0144,ACC-0191,1
ACC-0144,ACC-0200,1
ACC-0144,ACC-0207,1
ACC-0144,ACC-0222,1
ACC-0144,ACC-0231,1
ACC-0144,ACC-0232,1
ACC-0144,ACC-0039,1
ACC-0144,ACC-0032,1
ACC-0144,ACC-0007,1
ACC-0142,ACC-0177,1
ACC-0142,ACC-0051,1
ACC-0142,ACC-0059,1
ACC-0142,ACC-0077,1
ACC-0142,ACC-0105,1
ACC-0142,ACC-0144,1
ACC-0142,ACC-0147,1
ACC-0142,ACC-0166,1
ACC-0142,ACC-0174,1
ACC-0142,ACC-0179,1
ACC-0143,ACC-0130,1
ACC-0142,ACC-0180,1
ACC-0142,ACC-0182,1
ACC-0142,ACC-0191,1
ACC-0142,ACC-0239,1
ACC-0142,ACC-0264,1
ACC-0142,ACC-0277,1
ACC-0142,ACC-0295,1
ACC-0143,ACC-0097,1
ACC-0138,ACC-0278,1
ACC-0138,ACC-0236,1
ACC-0138,ACC-0213,1
ACC-0138,ACC-0170,1
ACC-0132,ACC-0259,1
ACC-0132,ACC-0283,1
ACC-0132,ACC-0285,1
ACC-0132,ACC-0293,1
ACC-0133,ACC-0092,1
ACC-0133,ACC-0095,1
ACC-0133,ACC-0107,1
ACC-0133,ACC-0109,1
ACC-0133,ACC-0123,1
ACC-0133,ACC-0143,1
ACC-0133,ACC-0149,1
ACC-0133,ACC-0153,1
ACC-0133,ACC-0161,1
ACC-0133,ACC-0166,1
ACC-0133,ACC-0168,1
ACC-0133,ACC-0193,1
ACC-0133,ACC-0199,1
ACC-0133,ACC-0206,1
ACC-0133,ACC-0214,1
ACC-0132,ACC-0249,1
ACC-0132,ACC-0233,1
ACC-0132,ACC-0170,1
ACC-0132,ACC-0022,1
ACC-0131,ACC-0232,1
ACC-0131,ACC-0236,1
ACC-0131,ACC-0239,1
ACC-0131,ACC-0244,1
ACC-0131,ACC-0247,1
ACC-0131,ACC-0253,1
ACC-0131,ACC-0267,1
ACC-0131,ACC-0279,1
ACC-0132,ACC-0050,1
ACC-0132,ACC-0153,1
ACC-0132,ACC-0058,1
ACC-0132,ACC-0075,1
ACC-0132,ACC-0102,1
ACC-0132,ACC-0113,1
ACC-0132,ACC-0124,1
ACC-0132,ACC-0127,1
ACC-0132,ACC-0131,1
ACC-0132,ACC-0134,1
ACC-0133,ACC-0248,1
ACC-0133,ACC-0252,1
ACC-0133,ACC-0267,1
ACC-0135,ACC-0227,1
ACC-0135,ACC-0007,1
ACC-0135,ACC-0008,1
ACC-0135,ACC-0096,1
ACC-0135,ACC-0125,1
ACC-0135,ACC-0157,1
ACC-0135,ACC-0179,1
ACC-0135,ACC-0185,1
ACC-0135,ACC-0191,1
ACC-0135,ACC-0248,1
ACC-0134,ACC-0280,1
ACC-0138,ACC-0022,1
ACC-0138,ACC-0055,1
ACC-0138,ACC-0077,1
ACC-0138,ACC-0106,1
ACC-0138,ACC-0123,1
ACC-0138,ACC-0129,1
ACC-0138,ACC-0153,1
ACC-0138,ACC-0167,1
ACC-0134,ACC-0291,1
ACC-0134,ACC-0264,1
ACC-0134,ACC-0022,1
ACC-0134,ACC-0157,1
ACC-0134,ACC-0062,1
ACC-0134,ACC-0118,1
ACC-0134,ACC-0123,1
ACC-0134,ACC-0127,1
ACC-0134,ACC-0138,1
ACC-0134,ACC-0144,1
ACC-0134,ACC-0148,1
ACC-0134,ACC-0151,1
ACC-0134,ACC-0161,1
ACC-0134,ACC-0253,1
ACC-0134,ACC-0171,1
ACC-0134,ACC-0180,1
ACC-0134,ACC-0183,1
ACC-0134,ACC-0185,1
ACC-0134,ACC-0205,1
ACC-0134,ACC-0207,1
ACC-0134,ACC-0220,1
ACC-0134,ACC-0245,1
ACC-0308,ACC-0262,1
